update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1166602045,Not recognizing the plugin path attribute in eclipse.generateFeature task,1168336051,[Doc] Document behaviour of pluginPath,168683,,,,
1168257407,Cheat Sheet Editor clips radio buttons for step details,1168339985,[Cheat Sheet Editor] Checkbox text clipped in simple item details section after horizontal resizing of form,169867,,,,
1168618828,[Cheatsheet Editor] skip set to false disables skip checkbox,1168860983,[Cheat Sheet Editor] Optional checkbox disabled when item has sub-steps confusing to user,170370,,,,
1169773781,Attributes?  what attributes?,1169773857,Propertties?  what properties?,171758,1170359497,Properties?  what properties?,,
1164799745,Java Indexer OOM Error,1170007483,vmargs of current platform should be respected in launching platform,166223,,,,
1170017271,Icons are generated even when branding option is not selected,1170107861,Splash not being generated for RCP apps when branding option is not selected,171957,1173382820,[Templates] Splash not being generated for RCP apps when branding option is not selected,,
1170403977,LogView instance sticks around after being closed,1170408299,LogView should batch updates,172658,1194461954,[logview] should batch updates,,
1166185488,Need a more user friendly way to specify the program args for a product,1170637984,Processing program args does not account for args containing spaces,168247,,,,
1170492223,New Plugin-Project wizard fails for Equinox / OSGi templates,1170667473,New Plugin-Project wizard fails for Equinox / OSGi templates when projectName has upper case,172760,,,,
1170524640,Cheatsheet editor header,1170949656,[Cheat Sheet Editor] Add help icon and register cheat sheet hyperlink to form header,172771,,,,
1170864759,Cheat sheet editor command dropdown amnesia,1170949785,[Cheat Sheet Editor] Command drop menu amnesia,173357,,,,
1170953197,Cheat Sheet Editor lose From Text Markup,1170953611,Cheat Sheet Editor loses Form Text Markup,173557,1171017124,[Cheat Sheet Editor] Form text markup is lost,,
1169462695,Incompatible .class files error won't go away,1170995425,[classpath] Incompatible .class files error won't go away,171258,,,,
1170851873,Normalize cheat sheet editor on preview,1171023733,[Cheat Sheet Editor] Normalize editor on preview,173311,,,,
1170875566,Error messages in cheat sheet editor title area look strange,1171024876,[Cheat Sheet Editor] Error messages in composite editor title area look strange,173377,1189083851,[Cheatsheet][Editors][Comp] Error messages in title area look strange,,
1171015308,Unmotivated beep when selecting certain CVS annotation in editor ruler,1171288977,[Annotate] Beep occurs selecting annotation revision in mutlipage editor,173660,1172464131,[Annotate] Beep occurs selecting annotation revision in multipage editor,,
1171296327,PFE feature.xml build all component may not handle unicode properly,1171296485,PDE feature.xml build all component may not handle unicode properly,173938,,,,
1147785407,build.jars task doesn't create any jars,1171555036,[doc] build.jars task doesn't create any jars,142061,,,,
1172174969,"PDE headless build expects plugins folders to match bundle ids, while PDE UI export does not",1172175095,"For Win32 icon branding, PDE headless build expects plugins folders to match bundle ids, while PDE UI export does not",175215,1172175661,"For Win32 icon branding, PDE headless product build expects plugins folders to match bundle ids, while PDE UI export does not",,
1172482453,Manifest editor leaks six images,1172486846,Manifest editor leaks six colors,175536,,,,
1172488549,"Cheat Sheet Editor needs to preserve the ""translate"" parameter",1172489534,"[Cheat Sheet Editor] Preserve the ""translate"" parameter",175568,,,,
1143624250,Wrong build id in error log,1172564363,Wrong build id in Error Log view,133876,1194462121,[logview] wrong build id in view,,
1172447186,Scale slider graphic not displayed properly,1172584475,Plugin.getBundle() returns wrong bundle if PluginActivator defined incorrectly,175476,,,,
1170782303,Field validation regurgitates the erroneous value,1173369958,[Product Editor] Field validation regurgitates the erroneous value,173205,,,,
1172240830,IOOBE during product editor validation,1173372439,[Product Editor] IOOBE during validation,175364,,,,
1171850665,Command Composer is too restrictive on file paths,1173379513,[Command Composer] Validation is too restrictive on file paths,174598,,,,
1153516363,Vague and inconsistent error messages in fragment wizard,1173866779,[New Fragment Wizard] Vague and inconsistent error messages,151499,,,,
1173948982,NLS33:translation question,1173953379,"[NLS] NLS33: Remove ""ReadOnly"" as a candidate for translation",177546,,,,
1174321744,Build not triggered for fragments when they are affected by StateDelta,1174326036,Build not triggered for non-java project when they are affected by StateDelta,178151,,,,
1174311726,F2 doesn't open a popup,1174326981,[hovering] F2 doesn't open a popup,178120,,,,
1174342682,Problem using PDE in build I20070313-1051,1174406760,Fragments are not being resolved,178172,,,,
1174388389,pde build with I200703200010 have problems packaging sdk feature,1174410686,target property not set,178322,,,,
1174619246,Splash templates contain copyrighted code,1174638379,[Templates] Splash templates contain copyrighted code,178949,,,,
1174619653,Browser splash screen contains code that is commented out,1174639402,[Templates] Browser splash screen contains code that is commented out,178950,,,,
1174620239,launching with wrong splash handler,1174640286,[Templates] Launching with wrong splash handler,178953,,,,
1174645719,Splash Template fails with different case,1174660347,[Templates] Splash Template fails with different case,179044,,,,
1174795095,Wrong access restirctions set in 3.3 M6 for some plug-ins,1174891012,Wrong access restrictions set in 3.3 M6 for some plug-ins,179180,,,,
1174890927,NLS33: Translation question #89,1174910150,[NLS] NLS33: Translation question #89,179287,,,,
1174561275,Schema editor doesn't set focus correctly,1174914677,[Schema Editor] Focus not set correctly,178821,,,,
1174645928,[Product Editor] splash page issues,1175018665,[Product Editor] Splash page issues,179045,,,,
1174954067,Splash screen is generated for non-RCP apps,1175075423,[Templates] Splash screen is generated for non-RCP apps,179433,,,,
1175080843,Interactive Splash template should be updated,1175087706,[Templates] Generated splash handler template code needlessly spins the event loop,179793,,,,
1160459680,"Exporting a product defined to include the rcp feature only included the feature, not it's plug-ins",1175196926,Package scripts is using the proper filename to create the jar,160290,1175201580,Package scripts is not using the proper filename to create the jar,,
1149251469,add note to branding.htm that startup progress reporting must be turned on using a preference,1175256703,[Product Editor] Add progress and message bar feature in Splash page is incomplete,145129,,,,
1175441835,Editor loses text position on focus,1175476793,[typing] Editor loses text position on focus,180396,1176714134,[Manifest Editor] Editor loses text position on focus,,
1175498013,Out of memory exception while saving index,1175499316,[index] Out of memory exception while saving index,180477,,,,
1175451647,Broken help links in product editor,1175528724,[Product Editor] Broken help links in product editor,180399,,,,
1171853250,Add substep always adds to the end,1175711590,[Cheat Sheet Editor] Add substep always adds to the end,174601,1176312423,[Cheat Sheet Editor] Add item and add subitem should do insert in simple editor,,
1170751509,Can't multi select in the plugins tab of the feature editor,1175716697,[Feature Editor] Can't multi select in the plugins tab of the feature editor,173067,,,,
1170932555,[Cheat Sheet Editor] Detail pages should reuse static sections instead of creating new widgets,1175784331,[Cheat Sheet Editor] SimpleCS Detail pages should reuse static sections instead of creating new widgets,173490,,,,
1174866361,Class/Interface proposals from dependencies does not appear on manifest editor type browser,1176209256,[Manifest Editor] Class/Interface proposals from dependencies does not appear on manifest editor type browser,179244,,,,
1174473718,Content assist lightbulb icon slightly cut off,1176211037,[Manifest Editor] Content assist lightbulb icon slightly cut off,178582,,,,
1165792613,PDE should not generate values for non-required attributes,1176217580,[Manifest Editor] PDE should not generate values for non-required attributes,167378,,,,
1148580941,extension point schema editor fills interface into Extends: field,1176217666,[Manifest Editor] Extension point schema editor fills interface into Extends: field,143874,,,,
1170020428,Unpleasant attribute deletion behaviour,1176218304,[Manifest Editor] Unpleasant attribute deletion behaviour,171965,,,,
1138193927,Help button should open help view instead of help window,1176283092,[Manifest Editor] Help button should open help view instead of help window,125219,1243502625,[editor] Help button should open help view instead of help window,,
1140085099,Opening plugin.xml then Manifest.mf no longer shares same editor,1176284215,[Manifest Editor] Opening plugin.xml then Manifest.mf no longer shares same editor,128236,,,,
1141308134,Generate missing images from the one generated,1176284382,[Product Editor] Generate missing images from the one generated,130210,,,,
1171198268,Add Extensions usability issues,1176286106,[Manifest Editor] Add Extensions usability issues,173795,,,,
1145517347,Clipboard problems in M5 (focus bug in plugin.xml editor),1176287896,[Manifest Editor] Clipboard problems in M5 (focus bug in plugin.xml editor),137708,,,,
1158671882,Remove Cheat Sheet tab from editor,1176290058,[Cheat Sheet Editor] Remove Cheat Sheet tab from editor,157896,1181906880,[Cheatsheet][Editors] Remove Cheat Sheet tab from editor,1182179829,[Cheatsheet][Editors][Simple] Remove Cheat Sheet tab from editor
1173774892,Replace hard coded hyperlink detector with extension,1176290316,[Manifest Editor] Replace hard coded hyperlink detector with extension,177136,,,,
1171449595,Vista: extension attribute tool tip is yellow,1176290545,[Manifest Editor] Extension attribute tool tip is yellow on Vista,174191,,,,
1168880165,We have to look as good as Ian,1176296482,[Fluff] We have to look as good as Ian,170561,1181813433,[UI] We have to look as good as Ian,,
1152168471,plugin.xml source editor syntax coloring confused by \,1176296742,[Manifest Editor] plugin.xml source editor syntax coloring confused by \,149816,,,,
1172730348,Incosistent line ending used by feature.xml editor,1176298181,[Feature Editor] Incosistent line ending used by feature.xml editor,176014,,,,
1155242233,editor opens on the wrong page,1176305416,[Manifest Editor] Editor opens on the wrong page,153515,,,,
1170750830,Undo in the extension tab of the plugin editor does not remove everything,1176307248,[Manifest Editor] Undo in the extension tab of the plugin editor does not remove everything,173061,,,,
1176379250,Error activating PDE view - DocumentHandler.setTextNodeOffset() out of bounds,1176380834,[Manifest Editor] Error activating PDE view - DocumentHandler.setTextNodeOffset() out of bounds,182187,,,,
1171002652,"Manifest editors: bring back preference ""Use source page as the default""",1176390276,"[Manifest Editor] Bring back preference ""Use source page as the default""",173624,,,,
1174459299,Code completion in the Manifest-editor should also now about Equinox-specific extensions,1176391064,[Manifest Editor] Code completion in the Manifest-editor should also now about Equinox-specific extensions,178517,1176393194,[Manifest Editor] Code completion in the Manifest-editor should also know about Equinox-specific extensions,,
1158732958,PDE editor: Paste and Undo shortcuts not working in the filter field,1176391608,[Manifest Editor] Paste and Undo shortcuts not working in the filter field,157973,,,,
1176303003,Clicking on annotation causes PC speaker to beep,1176470733,[Manifest Editor] Clicking on annotation causes PC speaker to beep,182022,,,,
1176717129,PDE Update Site Editor stop updating platform filter after switching to site.xml,1176717407,[Site Editor] Editor stops updating platform filter after switching to site.xml,182575,,,,
1150983514,unable to use archivesFormat with eclipse.buildScript task called from inside a macrodef,1176807292,BuildScriptGenerator should not force an order to set configInfo and archivesFormat,148288,,,,
1165982957,Mysterious Cut/Copy/Paste in PDE editor's dependencies,1176818217,[Manifest][Editor] Mysterious Cut/Copy/Paste in PDE editor's dependencies,167819,,,,
1172068202,Incorrect message for multiplicity validation,1176824821,[Manifest][Builders] Incorrect message for multiplicity validation,175031,,,,
1170423477,Non-editable fields with links,1176826063,[Manifest][Editors]Non-editable fields with links,172700,1176826118,[Manifest][Editors] Non-editable fields with links,,
1176842033,text editor pane cursor position changes when switching between editors,1176881116,[Manifest][Editors] Text editor pane cursor position changes when switching between editors,182854,,,,
1176891650,Blocking dialogs and NPE when switching between manifest editor source pages,1176896111,[Manifest][Editors] Blocking dialogs and NPE when switching between manifest editor source pages,183000,,,,
1176950963,Plug-in Project Wizzard generates invalid application class,1176972801,[Templates][RCP] Plug-in Project Wizard generates invalid application class,183136,,,,
1177066854,Bidi3.3:  Elements label in the extensions page in the fragment manifest characters order is incorrect,1177067315,Bidi3.3:  Elements' labels in the extensions page in the fragment manifest characters order is incorrect,183417,,,,
1170782682,Cheatsheet Editor problems launching commands,1177081189,[Cheatsheet][Editors] Problems launching commands,173206,,,,
1170378561,double-clicking on a node should implicitly focus on it.,1177314582,[pde viz] double-clicking on a node should implicitly focus on it.,172627,,,,
1169855144,An Execution Environment is not selected after addition.,1177314887,[Manifest][Editors] An Execution Environment is not selected after addition.,171896,,,,
1176983711,Update bundle names to conform to Incubator rules,1177314889,[pde viz] Update bundle names to conform to Incubator rules,183236,,,,
1170377777,NPE when focusing on org.eclipse.pde.ui,1177314931,[pde viz] NPE when focusing on org.eclipse.pde.ui,172624,,,,
1169855476,Definition page of schema editor is initially heavy on the left,1177314962,[Schema][Editors] Definition page of schema editor is initially heavy on the left,171897,,,,
1166643060,Add fit to page and other zoom levels in Dependency visualization,1177315126,[pde viz] Add fit to page and other zoom levels in Dependency visualization,168800,,,,
1170378396,CCE when double-clicking on some nodes,1177315171,[pde viz] CCE when double-clicking on some nodes,172626,,,,
1177328218,Map file entry doesn't match version,1177336709,[doc] Map file entry doesn't match version,183636,,,,
1177337630,Filter by Enabled / Disabled,1177337720,[pde viz] Filter plug-ins by Enabled / Disabled state,183658,,,,
1176715428,Problems with Product Export: wrong content in created jars,1177340775,Problems when exporting projects with same last segment,182566,,,,
1176981738,Optionaly generate fetchtask declaration for eclipse.versionReplacer,1177488065,Optionally generate fetchtask declaration for eclipse.versionReplacer,183227,,,,
1177505116,Filtering marks manifest editor dirty,1177505906,[Manifest][Editors] Filtering marks manifest editor dirty,184085,,,,
1177548845,'Up' button hard to use in Dependencies tab of pluginn.xml editor,1177575352,[Manifest][Editors] 'Up' button hard to use in Dependencies tab,184166,,,,
1177559514,NPE pde editor build page when deleting library form funtim information,1177576235,[Manifest][Editors] Deleting library from 'Runtime Information' section of 'Build' page causes NPE,184188,,,,
1153202509,"build automation for RCP-javaWebStart generates ""wrong"" *.jnlp files",1177601957,JNLP generation should only contains plugins for the config being built,150932,,,,
1177658459,NPE in SourceOutlinePage.addAllSelectionChangedListeners,1177665776,[Manifest][Editors] NPE in SourceOutlinePage.addAllSelectionChangedListeners,184426,,,,
1151374438,Let's re-design how souce is associated with code.,1177897355,Let's re-design how source is associated with code.,148782,,,,
1177852757,AIOOBE trying to use quick-assist to generate class,1177937740,[Manifest][Editors] AIOOBE trying to use quick-assist to generate class,184641,,,,
1177848406,[Regression] Quickfix menu item is disabled,1177952156,[Manifest][Builders][Regression] Quickfix menu item is disabled,184636,,,,
1178007120,One leaked image in new working set wizard,1178010325,[WorkingSets] One leaked image in new working set wizard,184859,,,,
1176671644,[Manifest Editor] Settings result in large dialog settings file,1178013996,[Manifest[[Editors] Settings result in large dialog settings file,182482,1178014015,[Manifest][Editors] Settings result in large dialog settings file,,
1178011908,Three images leaked in extension point schema editor,1178017095,[Schema][Editors] Three images leaked,184897,,,,
1178011578,Three colors leaked from extension tab of manifest editor,1178020142,[Manifest][Editors] Three colors leaked from extension tab,184894,,,,
1178185527,Confusion in cheat sheet re: Eclipse logo icon,1178190245,[Cheatsheet][Doc] Confusion in cheat sheet re: Eclipse logo icon,185375,1180706531,[UI][Cheatsheet] Confusion in cheat sheet re: Eclipse logo icon,,
1178182621,"""Java Runtime Environment"" group on Main tab of PDE launch configs is clipped",1178190501,"[Launchers] ""Java Runtime Environment"" group on Main tab of PDE launch configs is clipped",185364,,,,
1174411838,generate.plugin requires feature,1178201303,[doc] generate.plugin requires feature,178451,,,,
1175009242,Source generation broken when source feature comes first,1178203346,Source generation broken when source feature /plugin comes first,179616,,,,
1178277796,Disable code folding by default,1178286788,[Manifest][Editors] Disable code folding by default,185582,,,,
1178446914,Automated Management of Dependencies: Title disappears,1178492134,[Manifest][Editors] Automated Management of Dependencies: Title disappears,185696,,,,
1178548357,Extension Point Schema Editor: Extends and Implements fields are not refreshed correctly,1178549227,[Schema][Editors] Extends and Implements fields are not refreshed correctly,185853,,,,
1177596275,Errors when exporting,1178741503,The absence of log files result in error,184317,,,,
1168866430,Preview Reference Document should offer to save file,1178800284,[Schema][Editors][Actions] Preview Reference Document should offer to save file,170516,,,,
1179005651,New Extension Point schema wizard has no yellow sparkle,1179131846,[Schema][Wizards][New] New Extension Point schema wizard has no yellow sparkle,186699,,,,
1179199469,ConcurrentModificationException in PDE Schema Editor,1179302724,[Schema][Editors] ConcurrentModificationException,186963,,,,
1179476637,PDE Tools > Create And Build File throws NPE if project not in workspace root,1179476741,PDE Tools > Create Ant Build File throws NPE if project not in workspace root,187816,,,,
1174647083,Importing a plug-in as source should defaut to importing as binary if no source,1179735859,Importing a plug-in as source should default to importing as binary if no source,179055,,,,
1179598376,Product configuration deletes my splash handler,1179830917,[Product][Editors] Product configuration deletes my splash handler,187976,,,,
1179809914,Dependencies view shows fragment host twice,1179831317,[Dependencies][Views] Fragment host shown twice,188280,,,,
1179824403,PDE Cheat Sheet Opens Plug-ins inconsistently,1179831656,[Cheatsheet][Doc] Open manifest commands open manifest editor inconsistently,188332,1180706458,[UI][Cheatsheet] Open manifest commands open manifest editor inconsistently,,
1165288820,externalize strings failure if MANIFEST or plugin.xml has NL,1179892466,DBCS3.3: externalize strings failure if MANIFEST or plugin.xml has NL,166759,,,,
1179889871,Copy and Paste not working in plugin-Editor-Extensions-Tab,1179909360,[Manifest][Editors] Copy and Paste not working in Extensions tab,188592,,,,
1179924772,Import plug-ins dialog cut off in High Contrast,1179988544,[Manifest][Wizards][Import] Import plug-ins dialog cut off in High Contrast,188721,,,,
1179926000,Untranslated Keys,1179988775,[Manifest][Wizards][New] Untranslated Keys,188731,,,,
1180060909,Missing sub-elements in Extension tab (for expressionLanguage.exsd based extension points),1180084757,[Manifest][Editors] Missing sub-elements in Extension tab (for expressionLanguage.exsd based extension points),189102,,,,
1144796653,PDE Guide: basedOn shoudl read Extends and/or Implements,1180274635,PDE Guide: basedOn should read Extends and/or Implements,136269,1180696274,[UI] PDE Guide: basedOn should read Extends and/or Implements,,
1180219674,Regression:  Schema Editor falsely being marked as dirty,1180344291,[Schema][Editors] Regression:  Editor falsely being marked as dirty,189305,,,,
1180348185,a cut feature in an update site project cannot be pasted,1180349374,"[Site][Editors] Clipboard operations do not work in tree viewer on ""Site Map"" page",189472,,,,
1180347679,NPE when pasting an update site category,1180349765,[Site][Editors] NPE when pasting an update site category,189470,,,,
1180337285,NPE while doing nothing special,1180350405,[Launchers][Models] NPE while doing nothing special,189422,,,,
1180388696,PDE should provide warning if no EE specified,1180430821,[Manifest][Builders] PDE should provide warning if no EE specified,189580,,,,
1179933144,baseLocation should also support configuration with platform.xml Part 2,1180638762,Features not discovered from platform.xml,188777,,,,
1154424985,missing text between <strong> tag in error log view page,1180696681,[UI] Missing text between <strong> tag in error log view page,152469,,,,
1155878227,Example in org.eclipse.pde.core.javadoc extension point documentation contains invalid XML,1180697473,[UI] Example in org.eclipse.pde.core.javadoc extension point documentation contains invalid XML,154342,,,,
1179907471,Plug-in Extension Cheatsheet step should be split up,1180697574,[UI] Plug-in Extension Cheatsheet step should be split up,188643,,,,
1180698517,"""Add to Java Search",1180698529,"""Add to Java Search""",190515,1180698793,"""Add to Java Search"" - nothing in progress dialog",,
1180704935,[CheatSheet] Update SDK cheat sheets to add translation hints,1180704990,[UI] Update SDK cheat sheets to add translation hints,190552,,,,
1180933870,NPE in Update site editor,1180944924,[Site][Editors] NPE doing DND,190780,,,,
1180922511,NPE when saving product editor,1180945019,[Product][Editors] NPE when saving editor,190743,,,,
1180897473,Target editor:  confusing wording of host vs target,1180945460,[Target][Editors] Confusing wording of host vs target,190720,,,,
1180928322,'Format Source' command should only be bound in 'PDE editor' context,1180945884,[Manifest][Editors] 'Format Source' command should only be bound in 'PDE editor' context,190764,,,,
1181110689,breaking API change: protected method removed from AbstractLauncherTab,1181113876,Binary compatibility breakage: protected method removed from AbstractLauncherTab,191231,,,,
1181110897,api breakage: public method removed from EquinoxPluginsTab,1181113883,Binary compatibility breakage: public method removed from EquinoxPluginsTab,191232,,,,
1150447399,Docs says extension point schemas are valid XML schemas,1181316126,[UI] Docs says extension point schemas are valid XML schemas,147449,,,,
1153246793,no help for extension schema editor,1181316973,[UI] No help for extension schema editor,151025,,,,
1179237825,Doc from welcome not present in toc,1181561420,[UI] Doc from welcome not present in toc,187102,,,,
1151411863,PDE docs should point to product's CSS,1181577269,[UI] PDE docs should point to product's CSS,148869,,,,
1154700122,Validator fails for schemas with complex types that declare local elements,1181578139,[UI] Validator fails for schemas with complex types that declare local elements,152876,,,,
1181369436,eclipsec.exe missing in packaging.properties,1181654489,[doc] eclipsec.exe missing in packaging.properties,191815,,,,
1158141463,developerWorks Article: An Introduction to PDE Templates,1181813144,[UI] DeveloperWorks Article: An Introduction to PDE Templates,157186,,,,
1180007021,"""Add Required Plugins"" Doesn't Add Some Required Plugins",1181814262,"[UI] ""Add Required Plugins"" Doesn't Add Some Required Plugins",188985,,,,
